id;cost;name;usebefore;type;storage
88a37dec-06de-45d7-be91-4dec1ec21b8d;€55,73;Pears - Anjou;2/17/2020;Fruits;freezer
e7d0c8f3-3eab-461c-8d52-c9e871b7ec2d;€9,50;Wine - Red, Marechal Foch;3/16/2020;Alcohol;normal
d473ef07-8ab4-48fd-bd73-a81ca0c76b1c;€12,05;Sausage - Breakfast;6/8/2020;Fruits;freezer
4eaa2d06-9b45-4cab-87f2-5f6dc8afa03c;€76,53;Wine - Acient Coast Caberne;7/20/2020;Vegetables;freezer
54b44998-a3e6-474f-a68a-a5817f4aaa05;€73,05;Turkey - Breast, Boneless Sk On;6/14/2020;Sweets;fridge
befeeab9-0818-4852-b102-58c8b02ee671;€16,25;Shiro Miso;4/12/2020;Alcohol;fridge
04ac49ac-b1a9-4792-a6c3-098fe51aaefb;€38,24;Eel Fresh;11/5/2020;Alcohol;fridge
3a955dc7-0109-4899-b875-85948e5a0d20;€62,65;Pail - 15l White, With Handle;7/22/2020;Sweets;fridge
3750c872-4e2d-4a66-a27f-7bb492002a85;€19,65;Cheese - Camembert;3/24/2020;Vegetables;fridge
fefae068-0ff4-4256-aa85-2959d133c173;€73,19;Wine - White, Ej;7/20/2020;Sweets;freezer
6f994a4f-d3c0-43f6-8dc2-4f9562d4899a;€59,68;Sage - Rubbed;10/16/2020;Alcohol;normal
18ec65a8-e0ce-4d0b-8882-f01ef2434a97;€92,33;Wine - White Cab Sauv.on;7/30/2020;Alcohol;freezer
2b0bf6c7-a1c9-4191-9901-1652cfa2294b;€17,54;Eel - Smoked;3/20/2020;Fruits;freezer
48f61dd0-f379-4059-889f-9515f35b1703;€33,01;Tuna - Canned, Flaked, Light;8/10/2020;Fruits;fridge
0bab4595-073d-4ce3-b371-01489b7c6876;€3,52;Wine - Tio Pepe Sherry Fino;12/3/2019;Alcohol;freezer
d0e8bad6-687c-49a1-aa76-a9f7072842ea;€29,93;Yucca;10/7/2020;Sweets;fridge
97b91a95-6c75-4161-b979-98c95ad22afc;€85,62;Turnip - White, Organic;6/23/2020;Sweets;freezer
444b57f0-943e-45c2-a0fd-6b9a8bbac5b4;€73,10;Pork Casing;11/20/2020;Sweets;freezer
594baebe-9a32-4955-b2d2-969e596b1173;€6,97;Lettuce - Green Leaf;10/8/2020;Sweets;normal
b9b48550-7019-436c-aa6e-ed237179061d;€70,40;Raspberries - Frozen;6/10/2020;Alcohol;fridge
9398ca11-f820-4ee4-b7af-9cb7a877b104;€10,43;Clam Nectar;8/21/2020;Vegetables;normal
1762fe6e-92e8-49d0-a3bd-bcf03fc87109;€95,25;Veal - Insides, Grains;8/20/2020;Vegetables;normal
2a34b9c8-c1a5-4e7e-a29b-14132b913a1b;€46,33;Coffee - French Vanilla Frothy;10/9/2020;Alcohol;normal
4c212e32-9ef3-49fd-84b7-17a61ff8ab35;€39,99;Food Colouring - Pink;7/24/2020;Sweets;freezer
99a32963-d2a7-420b-821e-af07faab0de7;€12,76;Chinese Foods - Chicken Wing;1/13/2020;Vegetables;normal
a1455896-d6cf-498f-a479-0af453d0cca1;€93,66;Yogurt - Peach, 175 Gr;3/14/2020;Fruits;freezer
a3a4ca02-a27f-4d97-be46-8c7f6cca0b37;€76,79;Bread - Burger;8/12/2020;Vegetables;fridge
08deb04f-bbd4-424a-ab0a-7c67725d8e96;€96,44;Pike - Frozen Fillet;10/9/2020;Vegetables;freezer
534fc48a-5208-457d-9b96-fb21b5eb4ecc;€69,96;Corn - Mini;1/10/2020;Alcohol;freezer
38fda1e4-e79b-4e8a-8cf0-7cc917df3b1e;€20,26;Tart Shells - Savory, 4;4/1/2020;Vegetables;normal
6a9c9c17-606b-4ca7-9d51-6f3751eaee42;€97,33;Praline Paste;1/16/2020;Sweets;normal
24e0473f-fafb-490a-99c2-522a640e1f2c;€24,67;Soap - Mr.clean Floor Soap;5/30/2020;Alcohol;fridge
db524eb9-9ba8-40f4-a8ce-e2dbdeb933ba;€38,77;Cloves - Whole;8/25/2020;Vegetables;normal
4f1aa720-989d-4c74-a937-fb9ca2675403;€20,89;Ice Cream Bar - Drumstick;5/11/2020;Fruits;freezer
a4405721-b664-426b-a305-8c8222647df6;€83,87;Cheese - Mozzarella;11/15/2020;Alcohol;fridge
f8ac0bc2-0445-408a-adfd-8cad0258db3d;€77,26;Asparagus - Green, Fresh;4/27/2020;Fruits;freezer
1f8a4db6-8507-442d-b460-b705e0d6e542;€97,39;Bread - Olive;4/15/2020;Alcohol;normal
a79f80bb-9e8b-430d-9cfc-b9f6758dd79b;€90,07;Goat - Whole Cut;4/20/2020;Sweets;fridge
